Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
Actually , drawing a parallel to assembly language is a bit missing the point . Assembly was platform specific and the move to C enabled a certain level of platform agnosticism , allowing the developer to be more productive on multiple platforms . Hence , there was a real productivity effect . Learning all your rich web chops on something like GWT is more limiting . It is , after all , based on Java , and the web is way larger in scope than just Java . You'd be seriously limiting yourself if all you know is GWT but not the inner workings of the generated Javascript ( Can't comment on Morfik as I don't know it ) . However , employing something like JQuery in order to be more productive when coding Javascript is much better . JQuery can be used on any browser running on any OS , so it doesn't limit you .	R , V D A P N N V D N V D N , N V N A & D V P ^ V D A N P N N , V D N P V R A P A N , R , X V D A N N , V X D A N N P N P ^ V R V , O V , P X , V P ^ , & D N V N R P N P R ^ , L V R V O P X O V V ^ & R D A N P D V ^ , V V P ^ P O V V O , , R , V N P ^ P N P V R A R V ^ V R R , ^ V V V P D N V P D ^ , P O V V O ,
I'd say yes . I've met people who claimed to know javascript , when all they could do is do a couple of jquery function calls . Javascript ( ECMAscript ) is a beatiful little ( ok , not so little ) language . Abstracting a bit from javascript - define " worth learning " . This kind of thinking was always a conundrum to me . Are you , per chance , afraid of learning something new ? I guess , this kind of thinking is what really separates a coder from a programmer .	L V ! , L V N O V P V ^ , R R O V V V V D N P ^ N V , ^ , ^ , V D G A , ! , R R A , N , V D N P ^ , V , A V , , D N P V V R D N P O , V O , P N , A P V R A , O V , D N P V V O R V D N P D N ,
A web developer who does not know Javascript is like an auto mechanic who does not know how to change a tire .	D N N O V R V ^ V P D A N O V R V R P V D N ,
JavaScript is the core of interactive client-side development . It is absolutely essential . After you know JavaScript you might decide to try out other things that compile to JavaScript if you find them easier . Also if you want to work professional in web development for some company then you are going to have to know JavaScript . Besides , JavaScript is getting more and more popular as the execution of the language in the browser gets faster and as it becomes more popular in Server-side development as well .	^ V D N P A N N , O V R A , P O V ^ O V V P V T A N P V P ^ P O V O A , R P O V P N N P N N P D N R O V V P V P V ^ , P , ^ V V A & R A P D N P D N P D N V R & P O V R A P N N P R ,
Accessing the JavaScript Table DOM in a Java Servlet	V D ^ N ^ P D ^ ^
HTML tables can be interpreted by Excel . That said , all you need is the markup and a content-type of " application / ms-excel "	^ N V V V P ^ , O V , X O V V D N & D N P , N , ^ ,
Apparently you are generating the table in the JSP so why don't you just output the data you are creating the Table from ? For the actual JavaScript implementation just take a look at Ajax functionality and Dom Manipulation with jQuery ( http://jquery.com )	R O V V D N P D ^ R R V O R P D N O V V D N P , P D A ^ N R V D V P ^ N & ^ N P ^ , U ,
I don't understand , is there a question in here ?	O V V , V R D N P R ,
POST the table to the server . If you want to access the DOM like you would in JavaScript , you are going to need Rhino . But I recommend just sticking with something easier to drop in like JDOM . Then echo back the table with the content-type modified in the header to be " application / ms-excel " .	V D N P D N , P O V P V D ^ P O V P ^ , O V V P V ^ , & O V R V P N A P V P V ^ , R V T D N P D N V P D N P V , N , ^ , ,
I'd serialize the data from the cells into a simple JSON object , then use one of the many JSON libraries available on the Java-side to convert it back into a usable object . Something like this : This uses the Public Domain JSON.stringify() routine , available directly here . You can now take this string , pass it to a server , and re-hydrate the object in Java-land . You'll get a multidimensional array of values corresponding directly to the contents of the table . NOTE : This retrieves the entire table . If you just want to get the table's body , you'll have to modify the above code to iterate over the tBodies , like this :	L V D N P D N P D A ^ N , R V $ P D A ^ N R P D N P V O R P D A N , N P D , D V D N N ^ A , R R R , O V R V D N , V O P D N , & V D N P ^ , L V D A N P V V R P D N P D N , N , D N D A N , P O R V P V D S N , L V P V D A N P V P D N , P D ,
Issue with IE security on page opened from javascript	N P ^ N P N V P ^
I have a Java web application running in JBOSS with Tomcat with two web applications ( contexts ) running on it . A button press on one of the applications opens runs a javascript command to open a new window with a page from the other . The problem I seem to be having is that this raises a security alert in IE . with the following message : I can't really ask my customer to add an exception to " http:// " what are the likely causes for it not picking up the site ? The browser is correctly pointed at the full url for the page ( Ie www.something.net:8080/blah/somepage.jsp ) the browser is IE7 with enhanced security running on windows 2003 .	O V D ^ N N V P ^ P ^ P $ N N , N , V P O , D N N P $ P D N V V D ^ N P V D A N P D N P D A , D N O V P V V V P D V D N V P ^ , P D N N , O V R V D N P V D N P , ^ , O V D A N P O R V T D N , D N V R V P D A ^ P D N , ^ U , D N V ^ P A N V P ^ $ ,
" I can't really ask my customer to add an exception to " http:// "" - you can ask , but they won't be able to do it . IE doesn't let you enter exceptions that are that wide-ranging .	, O V R V D N P V D N P , U , , O V V , & O V V A P V O , ^ V V O V N O V D A ,
Do the two applications have different domains ? IE is preventing the cross-site scripting . Can you not just have a link to the other site ? EDIT : If this is on Windows Server 2003 , then the only way that I've managed to get around it is to disable to enhanced browser security . If this is the case , then you shouldn't really be browsing from a server in the first place . Edit2:I'm guessing that it is the enhanced browser security that is doing this . Check out this link : http://support.microsoft.com/kb/815141 on info about it . Your choices are to either to disable it , add an exception for that site , or use another browser .	V D $ N V A N , ^ V V D N N , V O R R V D N P D A N , V , P D V P ^ N $ , R D A N P L V P V P O V P V P A N N , P D V D N , R O V R V V P D N P D A U , G V P O V D A N N P V V D , V T D N , U P N P O , D N V P D P V O , V D N P D N , & V D N ,
No they both have the same domain one is www.example.com/app1/page.jsp the other is www.example.com/app2/anotherpage.jsp	! O D V D A N N V U D N V U
see edit2 in answer	V G P N
My issue is that there is no " site " to add as an exception . It's complaining about " http:// " not another website .	D N V O R V D , N , P V P D N , L V P , ^ , R A N ,
Can you post the code ?	V O V D N ,
Unfortunately I can't post the source A : Because of an NDA B : The Javaprojects are Huge The javascript that loads the page is just window.open ( " URL ") ; nothing special	R O V V D N G , P P D ^ G , D N V A D ^ D N D N V R ^ , , ^ , , N A
Thats irritating I just noticed that SO had parsed " h-t-t-p " as a link ...	L A O R V O O V V , ! , P D N ,
IE Enhanced Security Configuration is deliberately designed to prevent general purpose browsing from servers . Folks who want to do workstation-style browsing and just happen to be on a server SKU should disable ESC . What's the exactly line of code ? window.open ( " http://fullURL " , etc ) , or something like var v= window.open ( " about :b lank ") ; v.location.href =etc ?	^ V N N V R V P V A N V P N , N O V P V A V & R V P V P D N ^ V V ^ , L D A N P N , ^ , , U , , G , , & N P C C C C C C C C C C C C ,
it's window.open ( " path ") ; If thats the case then I needn't worry about it though I was just testing that an install had worked by running it locally .	L ^ , , N , , P L D N R O V V P O P O V R V P D V V V P V O R ,
You need to uninstall " Explorer Enhanced Security " , which is on by default in Windows Servers , before IE will act like a normal browser . :) Workstations shouldn't get this problem .	O V P V , ^ N N , , O V P P N P ^ N , P ^ V V P D A N , E N V V D N ,
Gantt Chart - JavaScript / JSP / Java / Groovy / Grails	^ N , ^ , ^ , ^ , ^ , ^
I'm looking to add the ability to create a gantt chart to my web application . Currently my application is Grails based running on Tomcat . Research around SO seems to indicate that JFreeChart ( http://www.jfree.org/jfreechart ) and Google Charts both might provide me with the ability to create charts that I could mold into what I need . Before I went down that route , though , I wanted to see if there was something that is more specifically tailored to project management type charts . [ Edit : I am open to using JavaScript modules as well ]	L V P V D N P V D ^ N P D N N , R D N V ^ V V P ^ , N P P V P V D ^ , U , & ^ ^ X V V O P D N P V N P O V V P O O V , P O V T D N , P , O V P V P X V N O V R R A P N N N N , , V , O V A P V ^ N P R ,
If you are not averse to Javascript , you could take a look at http://code.google.com/p/jsgantt /	P O V R A P ^ , O V V D V P U ,
Wow . That's pretty slick . I'm definitely going to consider that .	! , L R A , L R V P V O ,
try : http://www.fusioncharts.com/free it is free ( and you can get commercial one ) it is flash based .. you can customized it from your gsp .	V , U O V A , & O V V A $ , O V V V , O V V O P D N ,
Have a look at http://www.bryntum.com/products/gantt . 100% JavaScript based on ExtJS , not free though . DISCLAIMER : I wrote it .	V D V P U , $ ^ V P ^ , R A P , N , O V O ,
Unkown error when calling Java applet from JavaScript	A N R V ^ N P ^
Here's the JavaScript ( on an aspx page ): pdfXML is got from pdfData which is a hidden field on the page containing the XML that contains base64 encoded pdf data which is passed to the java applet . All the other values being passed have within range sensible values . The XML is like this The contents of the element PDF is a lot bigger than displayed here The signature of the Java method is : It seems that when the size of the PDF data gets large the applet fails to be called and the error ' Unknown Error ' is thrown in the JS . The PDF doc the data of which is producing this error is about 4Mb in size . Many thanks in advance for any help .	L D ^ , P D ^ N , ^ V V P N O V D A N P D N V D ^ O V ^ V ^ N O V V P D ^ N , X D A N V V V P N A N , D ^ V P D D N P D N ^ V D N A P V R D N P D ^ N V , O V O R D N P D ^ N V A D N V P V V & D N , A N , V V P D ^ , D ^ N D N P O V V D N V P ? P N , A N P N P D N ,
Does the WriteDocument method exit successfully ? It might be worth adding a try / catch inside if it's not possible to tell .	V D ^ N V R , O V V V V D V , V P P L R A P V ,
Since QA saw this error I've stuck some logging in right at the beginning of the WriteDocument function ( it's a signed trusted app so I can write to a log file in the user's home directory ) and that doesn't happen . I'm beginning to suspect that the failure is happening at the method invocation . I just don't know why ? I've added some further clarification to the question .	P ^ V D N L V D N P R P D N P D ^ N , L D V A N P O V V P D N V P D S N N , & O V V , L V P V P D N V V P D N N , O R V V R , L V D A N P D N ,
